time,open,high,low,close,tick_volume,spread,real_volume
2025-03-12 20:00:00,33.277,33.291,33.229,33.232,437,5,0
2025-03-12 20:15:00,33.23,33.254,33.189,33.247,692,1,0
2025-03-12 20:30:00,33.247,33.266,33.208,33.213,572,1,0
2025-03-12 20:45:00,33.212,33.229,33.194,33.202,411,1,0
2025-03-12 21:00:00,33.201,33.258,33.201,33.233,174,4,0
2025-03-12 21:15:00,33.233,33.243,33.222,33.238,121,6,0
2025-03-12 21:30:00,33.238,33.248,33.228,33.229,95,8,0
2025-03-12 21:45:00,33.228,33.243,33.206,33.232,218,6,0
2025-03-12 23:00:00,33.255,33.263,33.252,33.258,75,9,0
2025-03-12 23:15:00,33.255,33.26,33.245,33.245,93,15,0
2025-03-12 23:30:00,33.246,33.251,33.233,33.243,117,9,0
2025-03-12 23:45:00,33.246,33.272,33.243,33.261,125,12,0
2025-03-13 00:00:00,33.276,33.276,33.249,33.249,106,12,0
2025-03-13 00:15:00,33.247,33.255,33.227,33.253,97,12,0
2025-03-13 00:30:00,33.248,33.28,33.248,33.275,101,12,0
2025-03-13 00:45:00,33.274,33.286,33.254,33.281,95,12,0
2025-03-13 01:00:00,33.277,33.291,33.276,33.289,138,9,0
